,Al,Ca,COD,Cl,Fe,Mg,Mn,N,pH,Ph,t,Turbidity
1,0.03,3.25,16.6,76.1,0.22,4.95,0.005,4.62,9.89,0.889,22.7,61.4
2,0.03,2.06,16.6,65.5,0.2,4.45,0.002,3.74,8.25,0.762,26.5,24
3,0.03,3.26,11,110,0.05,6.56,0.002,3.2,8.8,0.65,21.7,23.5
4,0.15,4.25,13.5,128,0.39,7.73,0.002,2.32,9.65,0.51,26.3,16.3
5,8.9,1.7,8.63,100,48.7,5.45,1.25,5.52,8.59,0.65,11.2,0
6,8.9,1.7,14.7,100,48.7,5.45,1.25,5.52,9.03,0.645,22.9,29.5
7,15.3,2.2,9.43,84.8,15.5,5.69,1.7,1.83,8.09,0.215,12.4,8
8,30.5,1.7,12.1,86.7,263,5.71,8.37,2.24,7.2,0.435,26.5,28.2
9,23.6,2,8.34,63.4,12.8,4.08,1.77,2.86,6.65,0.52,26.5,15.8
10,0.06,3.09,8.81,60.6,1.06,4.94,0.004,1.96,9.12,0.869,24.5,13.9
11,0.02,1.71,8.81,53.5,0.25,3.95,0.002,1.56,7.93,0.226,26.7,14.4
12,0.05,4.28,16,172,0.53,10.1,0.01,2.03,8.13,0.68,10.2,35.6
13,0.03,4.26,22,155,0.23,8.95,0.02,5.93,8.13,0.98,27.6,88
14,0.14,4.81,30.4,215,1.61,12.5,0.02,3.67,8.61,0.76,29.2,52.5
15,18.7,1.5,13.1,66.6,192,4.6,0.52,1.05,8.2,0.156,10.7,1.3
16,18.7,1.5,10.4,83.7,192,4.6,0.52,1.92,8.64,0.209,22.8,22.3
17,35.3,1.6,14.5,40.3,254,3.73,5.54,2.1,7.79,0.231,12.1,3.8
18,33.5,2.3,11.4,70.6,335,4.45,12.9,2.24,7.64,0.44,27.6,30.2
19,15,2.5,10.8,65.3,122,4.46,2.84,1.82,6.78,0.47,27.6,20.2
20,0.01,2.61,6.48,57.8,0.35,5.2,0.002,1.08,9.71,0.083,25.8,9.1
21,0.02,4.79,8.54,154,0.5,11.5,0.002,1.24,8.76,0.092,10.8,5.8
22,0.09,3.13,10.8,134,0.05,8.75,0.002,1.34,8.76,0.081,26.3,6.4
23,0.12,5.88,12.6,158,0.39,10.7,0.003,1.53,9.29,0.09,26.5,8.5
24,13.5,1.5,6.44,67.9,193,4.67,0.31,0.73,8.14,0.06,10.6,3.6
25,13.5,1.5,6.05,95.2,193,4.67,0.31,1.16,8.43,0.068,23.1,13.9
26,70.2,2.3,11.9,53.4,339,4.54,5.05,1.73,7.69,0.51,12.9,4.3
27,27.9,2,6.32,74.4,408,4.76,7.41,1.67,7.14,0.192,31.5,15.1
28,8.1,2.9,7.66,72.5,187,5.71,2.58,1.48,7.25,0.198,31.5,15.3
29,0.01,2.43,11,61.7,0.5,4.76,0.002,2.24,9.41,0.427,24.8,4.9
30,0.008,2.47,11,56,0.55,4.45,0.002,3.26,9.22,0.653,26.4,38.7
31,0.08,3.78,24.6,106,0.12,9.08,0.005,2.46,8.02,0.353,27.3,11.2
32,0.07,4.93,24.3,121,1.5,10.7,0.02,2.17,8.21,0.324,25.9,21.3
33,20.8,1.6,11.2,68,219,4.83,0.52,1.23,8.21,0.203,12.9,11.2
34,20.8,1.6,8.34,86.8,219,4.83,0.52,2.3,9.88,0.334,21.8,62.5
35,20.8,1.9,7.08,56,98.2,3.91,1.14,1.82,8.63,0.265,15.4,5.2
36,18.5,2.5,6.77,73.9,503,4.72,41.3,2.11,7.22,0.405,22.4,4.2
37,18.3,1.7,7.93,53.5,260,4.01,4.74,3.26,6.78,0.91,22.4,82
38,0.02,2.48,6.87,62.8,0.08,3.91,0.002,1.29,9.64,0.142,24,8.4
39,0.01,1.7,6.87,43.6,0.06,3.22,0.002,1.84,9.01,0.205,25.8,8.3
40,0.02,1.97,12.2,91.2,0.07,5.97,0.01,1.4,7.76,0.129,27.9,4.4
41,0.09,2.62,15.6,127,0.53,8.04,0.01,1.92,8.6,0.132,26.1,7.4
